station,meas_wse
3772.157,347.428
3771.156,347.428
3770.156,347.428
3769.156,347.428
3768.156,347.428
3767.156,347.428
3766.155,347.428
3765.155,347.428
3764.155,347.428
3763.155,347.428
3762.155,347.428
3761.154,347.428
3760.154,347.428
3759.154,347.428
3758.154,347.428
3757.154,347.428
3756.153,347.428
3755.153,347.428
3754.153,347.428
3753.153,347.428
3752.153,347.428
3751.152,347.428
3750.152,347.428
3749.152,347.428
3748.152,347.428
3747.152,347.428
3746.151,347.428
3745.151,347.428
3744.151,347.428
3743.151,347.428
3742.151,347.428
3741.15,347.428
3740.15,347.428
3739.15,347.428
3738.15,347.428
3737.15,347.428
3736.149,347.428
3735.149,347.428
3734.149,347.428
3733.149,347.428
3732.149,347.428
3731.148,347.428
3730.148,347.428
3729.148,347.428
3728.148,347.428
3727.148,347.428
3726.147,347.428
3725.147,347.428
3724.147,347.428
3723.147,347.428
3722.147,347.428
3721.146,347.428
3720.146,347.428
3719.146,347.428
3718.146,347.428
3717.146,347.428
3716.145,347.428
3715.145,347.428
3714.145,347.428
3713.145,347.428
3712.145,347.428
3711.144,347.428
3710.144,347.428
3709.144,347.378
3708.144,347.428
3707.144,347.378
3706.143,347.428
3705.143,347.428
3704.143,347.428
3703.143,347.428
3702.143,347.428
3701.142,347.428
3700.142,347.328
3699.142,347.378
3698.142,347.428
3697.142,347.378
3696.141,347.428
3695.141,347.328
3694.141,347.328
3693.141,347.378
3692.141,347.428
3691.14,347.378
3690.14,347.328
3689.14,347.378
3688.14,347.328
3687.14,347.328
3686.139,347.328
3685.139,347.328
3684.139,347.328
3683.139,347.328
3682.139,347.328
3681.138,347.328
3680.138,347.328
3679.138,347.328
3678.138,347.328
3677.138,347.328
3676.137,347.328
3675.137,347.328
3674.137,347.328
3673.137,347.328
3672.137,347.328
3671.136,347.328
3670.136,347.328
3669.136,347.328
3668.136,347.328
3667.136,347.328
3666.135,347.328
3665.135,347.328
3664.135,347.328
3663.135,347.328
3662.135,347.328
3661.134,347.328
3660.134,347.328
3659.134,347.328
3658.134,347.328
3657.134,347.328
3656.133,347.328
3655.133,347.328
3654.133,347.428
3653.133,347.328
3652.133,347.328
3651.132,347.328
3650.132,347.328
3649.132,347.328
3648.132,347.328
3647.132,347.328
3646.131,347.328
3645.131,347.328
3644.131,347.328
3643.131,347.328
3642.131,347.328
3641.13,347.328
3640.13,347.328
3639.13,347.328
3638.13,347.328
3637.13,347.328
3636.129,347.328
3635.129,347.328
3634.129,347.328
3633.129,347.328
3632.129,347.328
3631.128,347.328
3630.128,347.328
3629.128,347.328
3628.128,347.328
3627.128,347.328
3626.127,347.328
3625.127,347.328
3624.127,347.328
3623.127,347.328
3622.127,347.328
3621.126,347.328
3620.126,347.328
3619.126,347.328
3618.126,347.328
3617.126,347.328
3616.125,347.328
3615.125,347.328
3614.125,347.328
3613.125,347.328
3612.125,347.328
3611.124,347.328
3610.124,347.328
3609.124,347.328
3608.124,347.328
3607.124,347.328
3606.123,347.328
3605.123,347.328
3604.123,347.328
3603.123,347.328
3602.123,347.328
3601.122,347.328
3600.122,347.328
3599.122,347.328
3598.122,347.328
3597.122,347.328
3596.121,347.328
3595.121,347.328
3594.121,347.328
3593.121,347.328
3592.121,347.328
3591.12,347.328
3590.12,347.328
3589.12,347.328
3588.12,347.328
3587.12,347.328
3586.119,347.328
3585.119,347.288
3584.119,347.268
3583.119,347.268
3582.119,347.323
3581.118,347.268
3580.118,347.328
3579.118,347.268
3578.118,347.268
3577.118,347.268
3576.117,347.328
3575.117,347.268
3574.117,347.268
3573.117,347.268
3572.117,347.268
3571.116,347.268
3570.116,347.268
3569.116,347.268
3568.116,347.268
3567.116,347.268
3566.115,347.268
3565.115,347.268
3564.115,347.268
3563.115,347.268
3562.115,347.268
3561.114,347.268
3560.114,347.268
3559.114,347.298
3558.114,347.268
3557.114,347.268
3556.113,347.268
3555.113,347.268
3554.113,347.298
3553.113,347.268
3552.113,347.268
3551.112,347.298
3550.112,347.268
3549.112,347.268
3548.112,347.268
3547.112,347.268
3546.111,347.348
3545.111,347.328
3544.111,347.303
3543.111,347.328
3542.111,347.328
3541.11,347.288
3540.11,347.328
3539.11,347.368
3538.11,347.308
3537.11,347.268
3536.109,347.268
3535.109,347.268
3534.109,347.328
3533.109,347.328
3532.109,347.268
3531.108,347.268
3530.108,347.268
3529.108,347.268
3528.108,347.268
3527.108,347.268
3526.107,347.328
3525.107,347.228
3524.107,347.228
3523.107,347.228
3522.107,347.228
3521.106,347.268
3520.106,347.268
3519.106,347.268
3518.106,347.268
3517.106,347.268
3516.105,347.268
3515.105,347.268
3514.105,347.268
3513.105,347.268
3512.105,347.268
3511.104,347.268
3510.104,347.268
3509.104,347.268
3508.104,347.268
3507.104,347.248
3506.103,347.268
3503.103,347.213
3502.103,347.228
3501.102,347.228
3500.102,347.228
3499.102,347.228
3498.102,347.228
3497.102,347.228
3496.101,347.168
3495.101,347.218
3494.101,347.218
3493.101,347.228
3492.101,347.228
3491.1,347.268
3490.1,347.268
3489.1,347.268
3488.1,347.248
3487.1,347.267
3486.099,347.267
3485.099,347.267
3484.099,347.267
3483.099,347.267
3482.099,347.257
3481.098,347.267
