slope,manning_n,score,wse_rmse_m,wse_bias_m,velocity_rmse_ms,velocity_bias_ms,n_wse,n_velocity
0.0009383767669073588,0.07500000000000001,1.1146498786728056,0.9333075176958018,-0.6282308204320597,0.18134236097700382,0.1614057835215803,4715,4
0.0002743830311563958,0.04,1.124180491064581,0.9396968994254905,-0.6359567107268702,0.1844835916390904,0.16474637700432265,4715,4
0.00035088212858554386,0.045,1.1277670189461624,0.9420955908305249,-0.638843513037028,0.18567142811563764,0.16600751983033474,4715,4
0.0007337924638929234,0.065,1.1285731802577776,0.9426341254337788,-0.6394908956769224,0.1859390548239989,0.16629141521032825,4715,4
0.00021456221805898323,0.035,1.1315030893614897,0.9445898997956544,-0.6418400047596472,0.18691318956583536,0.1673243551284309,4715,4
0.0004487094833883728,0.05,1.1399828143377553,0.9502344566596402,-0.6486011324076397,0.1897483576781151,0.170325572440767,4715,4
3e-05,0.07500000000000001,1.1450968022820114,1.0374801745014173,0.912860202688572,0.10761662778059408,-0.08241856589967836,4715,4
3.83641211819922e-05,0.08499999999999999,1.147620117092565,1.0398774932920738,0.9157604527395604,0.10774262380049136,-0.08258282355390399,4715,4
0.00016778350040221708,0.030000000000000002,1.1531070089037057,0.9588950295057576,-0.6589971956277011,0.19421197939794807,0.1750360002311714,4715,4
0.0012,0.08,1.1550915614807264,0.9601978005518715,-0.6605597537299116,0.19489376092885502,0.17575396378774452,4715,4
0.0005738114998740221,0.055,1.15911096491662,0.9628292252631803,-0.6637117461635234,0.19628173965343976,0.17721428500522862,4715,4
0.0009383767669073588,0.07,1.1624115453574442,0.9649851789969841,-0.6662904499712102,0.19742636636046015,0.1784173368293954,4715,4
0.0007337924638929234,0.060000000000000005,1.1840927150104812,0.9790594671586962,-0.6830377465415589,0.2050332478517849,0.18638732969309613,4715,4
0.00013120344887319337,0.025,1.1943673821391272,0.985672711576201,-0.690857231049791,0.20869467056292626,0.19020869384734065,4715,4
0.0012,0.07500000000000001,1.199992570801224,0.9892778898977262,-0.6951073462996984,0.21071468090349768,0.19231311051639838,4715,4
0.00035088212858554386,0.04,1.209645082053046,0.9954385298073489,-0.7023493031101933,0.21420655224569704,0.1959447449430069,4715,4
0.0004487094833883728,0.045,1.2132750901354747,0.9977471945397861,-0.7050555848238786,0.21552789559568863,0.1973170439477811,4715,4
0.0009383767669073588,0.065,1.2140911553926044,0.9982658311893676,-0.7056626917871942,0.2158253242032367,0.19762579620487006,4715,4
3.83641211819922e-05,0.09,1.216359999111104,1.1053714829038908,0.9935102597350689,0.11098851620721323,-0.08676841415438685,4715,4
0.0002743830311563958,0.035,1.2170571155398908,1.0001494779374578,-0.7078669975156727,0.21690763760243303,0.19874884219766933,4715,4
3e-05,0.08,1.2226742592608433,1.111394180991636,1.0006176969845766,0.11128007826920733,-0.0871404196557806,4715,4
0.0005738114998740221,0.05,1.225642518809309,1.0055843671149254,-0.7142137534080016,0.2200581516943837,0.2020141823200901,4715,4
0.00021456221805898323,0.030000000000000002,1.2395621587688068,1.014045516294475,-0.7240355674529869,0.22551664247433173,0.207487068665502,4715,4
0.0007337924638929234,0.055,1.2459960100468563,1.017911204965891,-0.7285095042693588,0.2280848050809654,0.21004394222859624,4715,4
0.0012,0.07,1.249538122178153,1.0200326574944327,-0.7309622455776059,0.2295054646837203,0.21145627819286364,4715,4
0.0009383767669073588,0.060000000000000005,1.2727879964485516,1.0338598762990234,-0.7468890862531014,0.23892812014952808,0.22078739679867146,4715,4
0.00016778350040221708,0.025,1.2838298965720283,1.040345042025493,-0.7543086183427938,0.24348485454653543,0.2252783551628634,4715,4
3e-05,0.08499999999999999,1.2994386067415347,1.1847713761557808,1.08868836644878,0.114667230585754,-0.091414017638455,4715,4
